id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
197163,Control Systems Engineer South,TGEN BAND 3 PROFESSIONAL,Territory Generation,Alice Springs,Ongoing (Permanent) - Full Time,,"Engineering, Professional, Science",1,,35,0
197173,Aboriginal Health Practitioner,ABORIGINAL HEALTH PRACTITIONERS CLASS 2,Department of Health,Pirlangimpi,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical",1,,1,1
197182,Management Coordinator ,PWC BAND 2 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,2,,46,4
197186,Senior Teacher,SENIOR TEACHER 1,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Education and Training,1,,4,1
197188,Senior Court Officer - Registry,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Legal",1,,35,1
197195,Social Worker,PROFESSIONAL 2,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Part Time,,"Allied Health and Health Care Services, Professional, Medical",1,,12,1
197199,Senior Financial Analyst,ADMINISTRATIVE OFFICER 6,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services, Education and Training",1,,14,1
197207,Hydrotherapy Assistant,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Alice Springs,Fixed (Temporary) - Part Time,YES,"Education and Training, Administration and Business Services",1,,1,0
197208,Senior Taxation Services Officer,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Accounting and Finance, Administration and Business Services",1,,5,0
197213,Hydrotherapy Assistant,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Alice Springs,Fixed (Temporary) - Part Time,,Education and Training,1,,2,1
197221,Aboriginal Employment Program,Aboriginal Employment Program,Department of Corporate and Digital Development ,Alice Springs,Fixed (Temporary) - Full Time,YES,Administration and Business Services,,Several,55,12
197226,Quality and Safety Nurse Clinical Coordinator,NURSE LEVEL 5 RDO,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Medical",1,,3,1
197240,Senior Teacher Early Childhood,SENIOR TEACHER 1,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Education and Training,1,,0,0
197248,Gastroenterologist,SPECIALIST CLINICIAN,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",1,,7,0
197256,Senior Executive Assistant and Ministerial Liaison Officer,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Program and Project Management",1,,27,0
197259,Administrative Assistant,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,120,1
197261,Paediatric Outreach Clinical Nurse Consultant,NURSE LEVEL 5 RDO,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,4,1
197262,Principal Alcohol Action Officer,ADMINISTRATIVE OFFICER 7,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Administration and Business Services, Medical",1,,11,1
197264,Families as First Teachers Family Educator,SENIOR TEACHER 1,Department of Education,"Milikapiti-Snake Bay, Pularumpi-Pirlangimp",Fixed (Temporary) - Full Time,,Education and Training,2,,11,2
197279,Senior Manager Information Management,SENIOR ADMINISTRATIVE OFFICER 1,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Information and Records Management, Administration and Business Services, Executive and Senior Management",2,,14,2
197281,"Assistant Director, Aboriginal Educators",SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training, Program and Project Management",1,,10,1
197283,"Manager, Training and Development",ADMINISTRATIVE OFFICER 7,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training, Program and Project Management",1,,23,1
197285,Commissioner of Superannuation,EXECUTIVE OFFICER 2 - EXECUTIVE CONTRACT,Department of Treasury and Finance,Darwin,Fixed (Temporary) - Full Time,,"Executive and Senior Management, Accounting and Finance",1,,4,1
197292,Arrernte Educator,ADMINISTRATIVE OFFICER 3 96%,Department of Education,Alice Springs,Ongoing (Permanent) - Full Time,,Education and Training,1,,1,0
197316,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 2,Department of Education,Palumpa-Nganmarriyan,Fixed (Temporary) - Full Time,,"Education and Training, Executive and Senior Management",1,,14,1
197328,"Manager, Financial Planning and Analysis",EXECUTIVE CONTRACT MANAGER,Power and Water Corporation,Darwin,Fixed (Temporary) - Full Time,,"Executive and Senior Management, Accounting and Finance",1,,37,1
197337,Families as First Teachers Family Educator,SENIOR TEACHER 1,Department of Education,Borroloola,Fixed (Temporary) - Full Time,,Education and Training,1,,4,1
197340,Nurse Clinical Coordinator (Acute),NURSE LEVEL 5 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,3,1
197341,Senior Project Manager,TECHNICAL 6,"Department of Infrastructure, Planning and Logistics",Palmerston,Ongoing (Permanent) - Full Time,,Program and Project Management,1,,13,1
197348,General Surgical Consultant ,SPECIALIST CLINICIAN,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",,Several,0,0
197354,Aboriginal Health Practitioner,ABORIGINAL HEALTH PRACTITIONERS CLASS 2,Department of Health,Milikapiti-Snake Bay,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical",1,,2,1
197355,Specialist Strategic Communications (Proactive),PWC BAND 3 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Fixed (Temporary) - Full Time,YES,"Communication, Media and Public Relations, Administration and Business Services",1,,8,1
197361,Aboriginal Educational Worker,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Darwin,Fixed (Temporary) - Part Time,YES,"Education and Training, Administration and Business Services",1,,10,1
197363,Network Leader,SENIOR TEACHER 4,Department of Education,Katherine,Ongoing (Permanent) - Full Time,,Education and Training,1,,8,1
197368,Social Worker ,PROFESSIONAL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Social Work",1,,0,0
197375,Registered Nurse Midwifery ,NURSE LEVEL 2,Department of Health,Alice Springs,Fixed (Temporary) - Part Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",2,,9,2
197385,Director Budget Development and Management,SENIOR ADMINISTRATIVE OFFICER 2,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,Accounting and Finance,1,,5,1
197419,Director Corporate Governance,SENIOR ADMINISTRATIVE OFFICER 2,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training, Executive and Senior Management",1,,12,1
197422,Director of General Surgery,SPECIALIST CLINICIAN,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Medical,1,,0,0
197426,Training Advisor,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,22,3
197436,Case Consultant,ADMINISTRATIVE OFFICER 5,"NT Police, Fire and Emergency Services",Darwin,Fixed (Temporary) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",1,,8,1
197473,Work Health and Safety Officer,ADMINISTRATIVE OFFICER 5,"NT Police, Fire and Emergency Services",Darwin,Fixed (Temporary) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services, Police, Fire and Emergency Workers",1,,2,0
197481,Special Education Teacher,CLASSROOM TEACHER,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Education and Training,1,,12,0
197483,Health and Physical Education Teacher,CLASSROOM TEACHER,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Education and Training,1,,2,0
197493,Deputy Commissioner,"EXECUTIVE OFFICER 1 - EXECUTIVE CONTRACT, SENIOR ADMINISTRATIVE OFFICER 2",Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Aged and Disability Care, Allied Health and Health Care Services, Community Services, Executive and Senior Management, Medical, Nursing and Midwifery, Social Work",1,,32,1
197495,Specialist Clinician - Otolaryngologist,"SPECIALIST CLINICIAN, SENIOR SPECIALIST CLINICIAN",Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Medical,1,,1,0
197498,Radiographer,"PROFESSIONAL 1, PROFESSIONAL 2",Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Medical,1,,29,1
197500,Director Asset Management,SENIOR ADMINISTRATIVE OFFICER 1,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Executive and Senior Management, Procurement, Grants and Contract Management",1,,19,0
197510,"Director, Commercial",SENIOR ADMINISTRATIVE OFFICER 1,"Department of Environment, Parks and Water Security",Darwin,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Executive and Senior Management, Administration and Business Services",1,,30,0
197520,Applications Officer,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,44,1
197523,Chief Financial Officer,EXECUTIVE OFFICER CONTRACT - BIITE,Batchelor Institute of Indigenous Tertiary Education,Batchelor,Fixed (Temporary) - Full Time,,Education and Training,1,,0,0
197526,VET Quality Officer,ADMINISTRATIVE OFFICER 5 - BIITE,Batchelor Institute of Indigenous Tertiary Education,Batchelor,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training",1,,0,0
197530,Operations Support Officer,ADMINISTRATIVE OFFICER 4,"NT Police, Fire and Emergency Services",Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers, Transport and Logistics",1,,56,1
197532,Senior Manager Reporting,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,6,1
197537,Dental Therapist,PROFESSIONAL 2,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical, Professional",,Several,9,3
197546,Procurement Officer,ADMINISTRATIVE OFFICER 4,"Department of Infrastructure, Planning and Logistics",Darwin,Ongoing (Permanent) - Full Time,,"Procurement, Grants and Contract Management, Administration and Business Services",1,,42,1
197548,Manager Benefits,ADMINISTRATIVE OFFICER 6,Department of Treasury and Finance,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Accounting and Finance",1,,9,1
197551,Project Officer - Civil,TECHNICAL 3,"Department of Infrastructure, Planning and Logistics",Alice Springs,Ongoing (Permanent) - Full Time,,Program and Project Management,1,,13,1
197552,Human Resources Officer - Reporting,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",1,,19,1
197555,Clinical Nurse Coordinator - Cognitive Care and Delirium,NURSE LEVEL 5 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,6,1
197570,Specialist Child and Youth Clinician,PROFESSIONAL 3,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Nursing and Midwifery, Social Work",1,,5,0
197577,Training Manager RTO,SENIOR TEACHER 1,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,14,0
197579,"Senior Teacher, Mathematics Science",SENIOR TEACHER 1,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,5,0
197581,System Administrator,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,30,1
197582,Strong Women Worker,ADMINISTRATIVE OFFICER 4,Department of Health,Wurrumiyanga (Nguiu –Bathurst Is),Ongoing (Permanent) - Part Time,,Allied Health and Health Care Services,1,,0,0
197583,"Senior Teacher, English/Humanities",SENIOR TEACHER 1,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,5,0
197584,Senior Project Officer ,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services, Program and Project Management",1,,16,1
197586,Senior Investigator,ADMINISTRATIVE OFFICER 6,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Legal, Administration and Business Services",1,,18,1
197588,Remote Alcohol and Other Drugs Worker,ADMINISTRATIVE OFFICER 5,Department of Health,Ali Curung (Alekarenge),Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Administration and Business Services, Medical",1,,0,0
197590,Strong Women Worker,ADMINISTRATIVE OFFICER 3,Department of Health,Wurrumiyanga (Nguiu –Bathurst Is),Ongoing (Permanent) - Part Time,,"Allied Health and Health Care Services, Administration and Business Services",1,,2,0
197597,Senior Teacher VET and Careers,SENIOR TEACHER 1,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,4,1
197599,Hospital Services Assistant,PHYSICAL 2,Department of Health,Darwin,Casual,YES,"Housekeeping Services, Allied Health and Health Care Services",1,,58,1
197600,Remote Alcohol and Other Drugs Worker,ADMINISTRATIVE OFFICER 5,Department of Health,Ali Curung (Alekarenge),Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Administration and Business Services, Medical",1,,11,1
197611,"Supervising Scientist, Clinical Laboratory",PROFESSIONAL 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional, Science",1,,4,1
197615,"Senior Specialist Mental Health Worker, Child and Youth",PROFESSIONAL 3,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Nursing and Midwifery, Social Work, Professional",1,,7,1
197617,Regional Director,SENIOR ADMINISTRATIVE OFFICER 2,Department of the Chief Minister and Cabinet,Yuendumu,Fixed (Temporary) - Full Time,,"Administration and Business Services, Community Services, Executive and Senior Management",1,,12,1
197621,Senior Social Worker - Renal,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Professional, Community Services, Social Work",1,,5,1
197625,"Clinical Nurse Specialist, Renal Services",NURSE LEVEL 4 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,1
197626,Administration Support Officer,ADMINISTRATIVE OFFICER 3 96%,Department of Education,Lajamanu (Hooker Ck),Fixed (Temporary) - Full Time,,Education and Training,1,,5,0
197638,Senior Budget Analyst,ADMINISTRATIVE OFFICER 7,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,15,1
197645,Senior Specialist Mental Health Worker Child and Youth ,PROFESSIONAL 3,Department of Health,Tennant Creek,Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Nursing and Midwifery, Social Work",1,,6,0
197661,Aged Care Coordinator Occupational Therapist ,PROFESSIONAL 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Professional",1,,3,0
197665,Project Officer,ADMINISTRATIVE OFFICER 7,Office of the Independent Commissioner Against Corruption (NT),Darwin,Fixed (Temporary) - Full Time,,"Program and Project Management, Administration and Business Services",1,,31,1
197666,Aged Care Coordinator - Occupational Therapist,PROFESSIONAL 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Professional",1,,1,1
197669,Therapy Assistant,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,5,1
197670,Psychogeriatric Case Manager,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Aged and Disability Care, Allied Health and Health Care Services, Nursing and Midwifery, Professional",1,,1,1
197671,Nurse/Midwife Education and Research Consultant,NURSE LEVEL 6 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,1
197674,Patient Travel Clerk,ADMINISTRATIVE OFFICER 3,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Allied Health and Health Care Services",1,,28,0
197677,Legal Officer,PROFESSIONAL 3,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Legal, Professional, Police, Fire and Emergency Workers",1,,10,1
197684,Carer Services Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2","Department of Territory Families, Housing and Communities",Galiwinku,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Social Work, Professional",1,,6,1
197698,Senior Correctional Officer,SENIOR CORRECTIONAL OFFICER,Department of the Attorney-General and Justice,Alice Springs,Ongoing (Permanent) - Full Time,,Prison Services,,Several,23,3
197707,Chief Financial Officer,EXECUTIVE OFFICER CONTRACT - BIITE,Batchelor Institute of Indigenous Tertiary Education,Batchelor,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training",1,,0,0
197709,Speech Pathologist,PROFESSIONAL 2,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Medical, Professional",1,,5,0
197712,Clinical Coder,ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Information and Records Management, Administration and Business Services",1,,27,1
197716,Regional Manager,SENIOR ADMINISTRATIVE OFFICER 1,Department of the Attorney-General and Justice,Alice Springs,Ongoing (Permanent) - Full Time,,"Executive and Senior Management, Probation and Parole Officer",1,,10,1
197717,Food Service Supervisor,PHYSICAL 7 - RDO,Department of Health,Tennant Creek,Ongoing (Permanent) - Full Time,,"Hospitality and Food Services, Allied Health and Health Care Services",1,,9,1
197719,Senior Investigator,ADMINISTRATIVE OFFICER 7,Office of the Independent Commissioner Against Corruption (NT),Darwin,Ongoing (Permanent) - Full Time,,"Professional, Administration and Business Services, Legal",1,,32,0
197722,Therapy Assistant,TECHNICAL 2,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Allied Health and Health Care Services,1,,24,1
197734,Network Leader,SENIOR TEACHER 4,Department of Education,Nhulunbuy,Fixed (Temporary) - Full Time,YES,Education and Training,1,,3,1
197737,Monitor,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers, Information and Records Management",,Several,56,2
197738,Monitor,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers, Information and Records Management",1,,0,0
197750,Client Service Officer,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,YES,Administration and Business Services,,Several,61,3
197756,Senior Environmental Advisor,SENIOR PROFESSIONAL OFFICER 1,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Science, Professional",1,,8,1
197759,Senior Project Officer,ADMINISTRATIVE OFFICER 7,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services, Program and Project Management",1,,13,1
197765,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2","Department of Territory Families, Housing and Communities",Nhulunbuy,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Social Work, Professional",2,,8,0
197769,Staff Officer ,SENIOR ADMINISTRATIVE OFFICER 1,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,27,0
197773,Teaching Principal,PRINCIPALS (NON CONTRACT) TP2,Department of Education,Milyakburra,Fixed (Temporary) - Full Time,,Education and Training,1,,4,1
197779,Senior WorkSafe Officer,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Part Time,,"Administration and Business Services, Human Resources and Work Health Safety",1,,6,1
197784,Client Information Quality Officer,ADMINISTRATIVE OFFICER 4,"Department of Territory Families, Housing and Communities",Nhulunbuy,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Community Services",1,,10,1
197785,Senior Teacher - Primary,SENIOR TEACHER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,6,1
197799,Senior Communications Consultant,ADMINISTRATIVE OFFICER 7,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Communication, Media and Public Relations, Administration and Business Services",1,,30,1
197800,Intelligence Support Officer,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Tennant Creek,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers",1,,16,1
197806,Manager Environment,PWC BAND 4 PROFESSIONAL FT,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Professional, Science",1,,19,1
197813,Sheriff's Officer,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Legal",1,,76,1
197816,Regional Director of Medical Services,"RURAL MEDICAL ADMINISTRATOR RL4.2-RL4.4, SPECIALIST CLINICIAN, SENIOR SPECIALIST CLINICIAN",Department of Health,Katherine,Fixed (Temporary) - Full Time,,"Administration and Business Services, Medical, Allied Health and Health Care Services",1,,9,1
197818,Owen Springs Power Station Operator,"TGEN OPERATOR, TGEN SENIOR OPERATOR",Territory Generation,Alice Springs,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,63,2
197826,"Senior Teacher, Special Education",SENIOR TEACHER 1,Department of Education,Tennant Creek,Ongoing (Permanent) - Full Time,,Education and Training,1,,4,1
197827,Primary Health Care Nurse,NURSE LEVEL 4 RDO,Department of Health,"Borroloola, Gunbalanya-Oenpelli, Jabiru, Maningrida, Pine Creek, Robinson River, Wadeye-Port Keats, Warruwi",Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",,Several,13,2
197834,Transport Inspector,TECHNICAL 3,"Department of Infrastructure, Planning and Logistics",Darwin,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services, Transport and Logistics",1,,19,1
197845,Flexible Learning Teacher,SENIOR TEACHER 1,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,11,1
197875,Senior Administrative Support Officer,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Police, Fire and Emergency Workers",1,,25,1
197876,Community Engagement Consultant,ADMINISTRATIVE OFFICER 7,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,16,1
197877,Principal Land Assessment Officer,PROFESSIONAL 3,"Department of Environment, Parks and Water Security",Palmerston,Fixed (Temporary) - Full Time,YES,"Environment, Natural Resources and Conservation, Professional",1,,4,0
197879,Community Engagement Officer,ADMINISTRATIVE OFFICER 6,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,15,1
197881,Principal,EXECUTIVE PRINCIPAL LEVEL 2,Department of Education,Borroloola,Fixed (Temporary) - Full Time,YES,"Education and Training, Executive and Senior Management",1,,0,0
197882,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Dundee Beach,Fixed (Temporary) - Full Time,,Education and Training,1,,15,1
197883,Admin and Finance Manager,ADMINISTRATIVE OFFICER 5,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,12,1
197886,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Nganambala,Fixed (Temporary) - Full Time,,Education and Training,1,,11,1
197891,ICT Support Officer,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,68,1
197906,Maintenance Officer,PHYSICAL 3,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Sport and Recreation, Trades, Maintenance and Services",1,,22,1
197907,Senior Policy Officer,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Professional, Medical",1,,0,0
197909,Health Service Administration Officer,ADMINISTRATIVE OFFICER 3,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Administration and Business Services, Allied Health and Health Care Services",,Several,0,0
197910,Frontline Service Officer,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Information and Communication Technology (ICT)",1,,19,1
197918,Aboriginal Liaison Officer,ADMINISTRATIVE OFFICER 3,Department of Health,Tennant Creek,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Allied Health and Health Care Services",2,,2,0
197919,Community Engagement Consultant,ADMINISTRATIVE OFFICER 7,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,7,1
197927,Connected Beginnings Service Coordination Officer,ADMINISTRATIVE OFFICER 5,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Community Services,1,,0,0
197935,Senior Specialist Mental Health Worker - Perinatal,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,Nursing and Midwifery,1,,3,0
197940,Housing Officer,ADMINISTRATIVE OFFICER 4,"Department of Territory Families, Housing and Communities",Alice Springs,Fixed (Temporary) - Full Time,,"Administration and Business Services, Community Services",1,,21,0
197942,Administration Team Manager ,ADMINISTRATIVE OFFICER 6,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Allied Health and Health Care Services",1,,17,0
197945,Primary Health Care Nurse,NURSE LEVEL 4,Department of Health,Pine Creek,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,0
197957,Families as First Teachers Family Educator,SENIOR TEACHER 1,Department of Education,"Ali Curung (Alekarenge), Alpurrurulam, Arlparra, Djembrie-Duck Ck/Jil, Elcho Isl-Galiwinku, Elliott, Jabiru, Kalkarindji-WaveHill, Milingimbi, Nhulunbuy, Ramingining, Warruwi, Lake Evella",Fixed (Temporary) - Full Time,,Education and Training,13,,26,10
197958,Team Leader,ADMINISTRATIVE OFFICER 7,Department of the Attorney-General and Justice,Alice Springs,Ongoing (Permanent) - Full Time,,"Community Services, Legal, Probation and Parole Officer",1,,9,1
197959,Families as First Teachers Family Liaison Officer,ADMINISTRATIVE OFFICER 4 92%,Department of Education,"Angurugu, Kalkarindji-WaveHill, Milingimbi, Palumpa-Nganmarriyan, Ramingining, Umbakumba, Yuendumu",Fixed (Temporary) - Part Time,,"Education and Training, Administration and Business Services",10,,10,4
197989,Principal Vegetation Assessment Officer ,PROFESSIONAL 3,"Department of Environment, Parks and Water Security",Palmerston,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Professional",1,,12,0
197992,Senior Manager Wellbeing and Positive Behaviour,SENIOR TEACHER 4,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,9,0
